Country,Total_Plastic_Waste_MT,Main_Sources,Recycling_Rate,Per_Capita_Waste_KG,Plastic_Waste_Level,Population_Millions,GDP_Billion_USD,Urbanization_Rate,Plastic_Export_MT,Plastic_Import_MT,Government_Policy_Score,Awareness_Index,Industrialization_Level,Waste_to_Recycle_Ratio,High_Risk_Flag,Developed_Country_Flag
UK,31.88,Consumer_Goods,85.49,108.48,High,626.17,3751.17,46.14,10.55,2.78,3,0.12,0.24,10.68,1,1
Italy,3.76,Packaging_Consumer,46.53,149.54,Low,343.0,19146.17,53.97,13.89,10.03,4,0.66,0.98,8.03,0,1
Russia,26.91,Automotive_Packaging,30.84,20.4,Low,380.38,19571.81,76.32,8.8,16.07,9,0.33,0.98,13.82,0,0
China,41.38,Packaging_Consumer,25.96,137.59,Low,605.73,17065.84,63.31,13.7,9.75,9,0.43,0.52,14.22,0,0
Canada,60.03,Automotive_Packaging,10.01,49.1,High,786.46,4867.04,73.7,12.38,15.17,7,0.29,0.61,11.6,1,1
Saudi Arabia,52.8,Industrial_Packaging,89.59,73.38,Low,79.72,2339.26,74.35,8.14,18.86,9,0.25,0.67,0.94,0,0
Japan,27.61,Packaging_Consumer,83.93,32.39,High,325.2,16248.97,43.96,6.76,10.49,9,0.12,0.32,2.7,1,1
Russia,4.35,Packaging_Electronics,5.3,119.25,Low,793.95,8690.51,87.05,5.61,3.8,6,0.56,0.01,10.76,0,0
Turkey,34.14,Automotive_Packaging,53.33,26.16,Low,1017.31,1870.11,21.72,4.8,5.3,1,0.92,0.24,12.21,0,0
Canada,40.88,Industrial_Packaging,60.14,100.93,Medium,527.7,14761.53,27.41,0.11,7.39,9,0.62,0.88,5.7,0,1
South Korea,68.81,Packaging_Consumer,30.03,145.53,Low,374.04,13726.8,24.25,2.9,14.17,3,0.06,0.76,1.36,0,1
Turkey,10.79,Packaging_Consumer,16.07,90.96,Medium,775.75,15948.08,59.47,6.16,10.35,5,0.52,0.03,8.98,0,0
South Africa,23.0,Automotive_Packaging,8.22,39.14,High,658.58,9501.96,68.45,7.86,0.37,1,0.91,0.4,12.6,1,0
UK,66.14,Automotive_Packaging,38.45,37.91,Medium,867.56,7748.83,96.57,6.53,18.24,8,0.62,0.56,7.01,0,1
Japan,43.25,Consumer_Goods,78.88,14.67,Low,916.37,7422.21,53.77,8.94,5.77,1,0.19,0.92,13.24,0,1
Turkey,11.14,Automotive_Packaging,72.54,101.52,Medium,139.86,11951.38,70.3,7.56,3.58,6,0.5,0.17,8.53,0,0
Japan,17.0,Industrial_Packaging,14.26,67.0,High,765.24,16886.43,50.63,14.94,13.01,3,0.3,0.95,0.46,1,1
South Africa,60.13,Consumer_Goods,51.29,102.45,Medium,387.88,5147.98,57.18,7.24,9.85,9,0.41,0.71,11.94,0,0
Mexico,57.71,Automotive_Packaging,86.27,56.01,Low,491.54,14695.49,64.17,8.04,18.12,6,0.56,0.11,1.72,0,0
United States,29.61,Packaging_Consumer,69.07,136.01,High,921.88,16517.73,20.19,8.3,15.28,4,0.06,0.1,14.81,1,1
Italy,67.05,Packaging_Consumer,68.26,28.58,High,672.59,7698.94,80.63,2.39,1.17,7,0.79,0.56,13.56,1,1
Saudi Arabia,41.98,Industrial_Packaging,6.11,71.62,Low,614.01,17091.83,82.1,0.87,11.09,6,0.89,0.4,11.31,0,0
South Korea,7.88,Packaging_Consumer,39.63,118.19,High,396.53,21950.28,49.22,0.51,14.19,5,0.97,0.24,9.63,1,1
Saudi Arabia,35.55,Consumer_Goods,47.0,115.57,Low,1159.32,1449.22,67.34,5.3,18.23,6,0.97,0.54,5.48,0,0
China,32.1,Packaging_Electronics,67.84,103.66,Medium,1353.86,13069.78,80.42,3.81,10.11,1,0.17,0.7,1.07,0,0
Turkey,26.39,Industrial_Packaging,33.8,137.55,Low,1293.53,15004.98,82.65,10.04,19.11,6,0.87,0.27,13.11,0,0
United States,14.26,Packaging_Consumer,86.09,143.17,Low,810.04,21144.55,36.03,11.77,6.63,1,0.29,0.2,13.82,0,1
France,47.99,Industrial_Packaging,42.91,59.98,Medium,115.34,20501.23,67.4,6.19,6.85,1,0.78,0.71,4.03,0,1
Mexico,43.45,Industrial_Packaging,56.49,85.91,High,31.39,21359.15,54.02,13.21,13.76,5,0.25,0.39,14.83,1,0
South Africa,31.88,Packaging_Electronics,15.96,95.28,High,992.91,15301.59,44.66,14.53,8.61,3,0.33,0.71,1.14,1,0
China,6.04,Packaging_Consumer,14.75,53.03,High,208.24,19484.71,34.9,10.2,1.94,8,0.05,0.09,8.98,1,0
Saudi Arabia,69.85,Industrial_Packaging,22.98,11.17,High,523.21,21060.7,76.42,10.25,16.93,2,0.26,0.5,2.93,1,0
Turkey,10.55,Packaging_Consumer,69.2,12.77,High,216.66,2237.8,28.66,2.92,13.94,8,0.21,0.81,2.02,1,0
South Africa,3.76,Consumer_Goods,25.68,118.23,Low,1377.97,11590.03,85.13,2.49,13.29,5,0.17,0.98,12.42,0,0
Saudi Arabia,7.93,Industrial_Packaging,46.53,96.32,Low,837.93,14584.96,95.1,12.54,7.51,2,0.95,0.56,3.6,0,0
China,11.04,Packaging_Electronics,21.33,18.21,High,265.16,8254.91,45.38,0.91,12.76,2,0.48,0.24,3.9,1,0
South Africa,63.25,Industrial_Packaging,5.86,136.22,Medium,181.6,10559.95,20.37,3.11,0.11,7,0.82,0.03,4.76,0,0
China,13.53,Packaging_Consumer,19.96,142.85,High,1378.19,8310.48,28.57,1.0,19.36,5,0.69,1.0,6.86,1,0
UK,24.74,Packaging_Electronics,11.15,66.79,High,1024.79,17269.05,56.41,4.47,5.21,4,0.62,0.59,10.79,1,1
Turkey,27.59,Packaging_Electronics,20.88,88.0,Medium,596.54,12146.5,32.62,2.48,19.55,7,0.57,0.15,9.01,0,0
Spain,24.48,Consumer_Goods,52.05,125.81,Medium,628.9,2173.27,43.88,13.34,19.0,8,0.98,0.71,7.11,0,1
China,67.02,Industrial_Packaging,37.7,104.36,Medium,491.74,3696.34,95.83,14.48,2.86,7,0.64,0.5,12.62,0,0
South Africa,5.24,Consumer_Goods,5.2,121.54,Medium,1003.42,7501.39,88.48,1.18,10.89,4,0.39,0.32,7.95,0,0
France,60.49,Industrial_Packaging,84.08,75.83,Low,1151.74,17300.64,32.98,0.83,7.78,4,0.95,0.53,5.71,0,1
Canada,7.66,Packaging_Consumer,79.7,98.88,High,1095.32,456.09,80.3,1.19,6.36,8,0.82,0.0,13.21,1,1
Saudi Arabia,56.38,Industrial_Packaging,65.72,57.39,High,373.4,8011.51,52.4,2.26,14.95,6,0.32,0.04,0.75,1,0
India,56.83,Packaging_Consumer,82.92,20.54,Low,520.94,19232.4,50.86,0.48,8.63,1,0.68,0.8,13.27,0,0
China,25.81,Automotive_Packaging,56.27,35.19,Low,1068.42,12799.27,99.07,6.61,14.72,4,0.7,0.51,14.6,0,0
France,43.45,Automotive_Packaging,53.59,71.07,Low,481.68,12005.06,37.18,5.19,19.59,5,0.85,0.85,4.64,0,1
Australia,48.38,Packaging_Consumer,28.78,133.1,Medium,358.28,5754.63,56.31,0.4,19.08,7,0.99,0.95,12.55,0,1
Germany,44.97,Industrial_Packaging,49.98,80.04,High,1017.49,3344.52,56.76,8.21,7.38,6,0.85,0.44,6.71,1,1
Germany,47.09,Packaging_Electronics,75.71,140.02,High,619.84,6830.45,22.07,8.79,19.25,9,0.75,0.21,4.58,1,1
Japan,17.0,Industrial_Packaging,14.26,67.0,High,765.24,16886.43,50.63,14.94,13.01,3,0.3,0.95,0.46,1,1
Australia,25.38,Automotive_Packaging,13.13,77.53,High,1217.14,6601.39,84.51,4.38,11.41,3,0.1,0.02,3.66,1,1
Canada,63.81,Industrial_Packaging,70.23,25.7,Low,874.86,12959.64,70.23,11.37,12.54,8,0.41,0.09,5.12,0,1
Japan,54.29,Automotive_Packaging,29.86,82.16,Low,85.87,13886.29,78.01,2.91,3.03,2,0.32,0.83,0.57,0,1
Egypt,64.54,Packaging_Consumer,44.8,136.49,High,9.86,17263.21,35.84,5.07,13.34,4,0.91,0.43,9.96,1,0
France,50.43,Industrial_Packaging,51.72,93.77,Low,352.85,21250.48,93.71,12.69,5.57,9,0.82,0.6,13.31,0,1
Germany,26.01,Industrial_Packaging,73.2,135.27,Low,617.17,13014.49,57.09,7.08,18.27,7,0.63,0.77,11.66,0,1
Indonesia,28.29,Industrial_Packaging,15.43,39.42,High,891.98,5810.16,80.24,8.72,7.45,4,0.45,0.86,8.89,1,0
Mexico,2.61,Automotive_Packaging,60.07,34.6,Low,664.9,16710.99,29.1,4.5,18.99,5,0.85,0.0,14.61,0,0
South Africa,13.11,Packaging_Electronics,18.61,21.36,High,533.45,8838.48,84.25,8.47,16.72,8,0.16,0.24,4.66,1,0
Spain,58.44,Automotive_Packaging,21.33,102.27,Low,511.26,14563.84,71.93,8.74,9.8,8,0.45,0.57,10.65,0,1
United States,1.83,Industrial_Packaging,67.93,121.4,High,1291.21,20750.22,36.3,11.7,10.68,9,0.86,0.31,4.44,1,1
Turkey,60.23,Automotive_Packaging,55.56,63.27,Low,1287.85,14422.52,76.06,4.68,16.0,7,0.3,0.47,13.49,0,0
France,61.01,Automotive_Packaging,57.38,85.93,Low,820.03,8437.55,26.94,6.64,0.97,5,0.23,0.99,12.24,0,1
Saudi Arabia,58.54,Industrial_Packaging,15.41,100.4,Low,1325.73,11428.51,52.81,7.98,13.14,5,0.39,0.71,10.48,0,0
Turkey,1.38,Packaging_Consumer,32.36,50.3,High,642.66,13458.83,28.93,14.4,7.93,5,0.01,0.02,6.11,1,0
United States,16.13,Automotive_Packaging,32.85,32.95,Low,290.61,8442.86,51.28,13.57,16.34,9,0.04,0.96,3.6,0,1
Spain,47.5,Packaging_Electronics,62.9,43.98,Low,1327.45,10426.61,79.87,12.62,4.83,2,0.17,0.31,0.75,0,1
France,56.78,Industrial_Packaging,69.24,110.85,Low,826.92,16932.05,42.17,8.85,9.66,8,0.33,0.31,12.61,0,1
Indonesia,20.52,Packaging_Consumer,14.69,113.76,Medium,219.35,18129.46,53.83,11.87,1.99,3,0.05,0.03,3.59,0,0
Canada,53.97,Packaging_Consumer,43.2,56.69,Low,730.5,12052.24,23.59,6.7,5.37,7,0.31,0.78,0.72,0,1
Spain,29.15,Consumer_Goods,12.48,71.53,Low,824.02,10204.12,94.14,12.49,7.24,2,0.09,0.86,8.67,0,1
Germany,10.25,Consumer_Goods,19.83,140.03,Medium,395.76,3179.8,32.83,9.38,3.1,3,0.22,0.03,5.83,0,1
Japan,11.23,Packaging_Electronics,14.61,124.74,High,758.69,18587.7,88.26,13.91,19.39,3,0.53,0.9,11.13,1,1
Egypt,63.88,Industrial_Packaging,16.07,57.92,Low,1098.97,9767.47,78.32,10.81,6.83,6,0.94,0.93,4.32,0,0
Mexico,43.45,Industrial_Packaging,56.49,85.91,High,31.39,21359.15,54.02,13.21,13.76,5,0.25,0.39,14.83,1,0
Indonesia,28.29,Industrial_Packaging,15.43,39.42,High,891.98,5810.16,80.24,8.72,7.45,4,0.45,0.86,8.89,1,0
South Korea,16.53,Automotive_Packaging,20.86,74.94,High,18.43,21592.78,39.17,8.45,2.49,6,0.66,0.55,8.32,1,1
Saudi Arabia,63.0,Consumer_Goods,32.68,141.07,Medium,1306.31,1765.0,81.43,9.88,17.02,2,0.88,0.82,1.47,0,0
United States,3.68,Consumer_Goods,72.29,70.96,High,1393.64,7290.55,64.56,11.78,3.47,7,0.19,0.15,10.14,1,1
Spain,62.06,Automotive_Packaging,13.78,17.34,Medium,958.5,21317.93,38.61,9.36,14.12,3,0.18,0.66,1.2,0,1
Russia,33.78,Packaging_Consumer,24.26,110.84,Low,1005.15,570.54,58.84,8.01,7.13,1,0.12,0.19,14.44,0,0
India,35.89,Industrial_Packaging,15.76,71.51,Low,307.25,10891.1,98.59,4.36,4.64,4,0.92,0.11,8.01,0,0
South Africa,46.88,Consumer_Goods,60.54,41.72,Low,308.56,7707.31,48.56,2.39,4.16,5,0.03,0.81,11.6,0,0
Russia,21.6,Packaging_Electronics,78.87,122.39,High,331.62,16434.65,59.99,4.62,4.42,2,0.65,0.1,14.51,1,0
Germany,29.47,Packaging_Consumer,73.06,63.68,Medium,573.18,5251.75,20.62,13.13,16.04,8,0.88,0.62,14.74,0,1
Turkey,49.36,Packaging_Consumer,86.89,142.72,High,1049.18,4689.31,58.28,5.68,10.39,7,0.92,0.56,3.62,1,0
Spain,38.14,Automotive_Packaging,24.28,54.75,High,346.8,19097.42,95.67,8.74,1.13,5,0.28,0.54,3.02,1,1
Saudi Arabia,32.16,Industrial_Packaging,40.33,127.21,Low,867.85,10972.68,23.02,4.84,2.71,5,0.09,0.22,11.98,0,0
Saudi Arabia,41.75,Automotive_Packaging,88.48,90.2,High,651.17,17945.26,65.67,14.79,11.02,6,0.1,0.29,1.77,1,0
Saudi Arabia,67.44,Packaging_Electronics,31.86,147.94,High,1306.33,14890.91,56.46,5.2,16.39,2,0.81,0.45,12.46,1,0
South Africa,5.41,Industrial_Packaging,12.21,49.79,High,700.05,19666.19,49.38,1.92,16.56,7,1.0,0.21,3.31,1,0
UK,11.73,Automotive_Packaging,16.08,108.4,High,532.54,9905.83,29.84,6.77,15.25,9,0.5,0.14,13.78,1,1
Germany,26.52,Consumer_Goods,80.53,51.86,Low,170.53,9026.75,69.87,6.84,9.47,9,0.43,0.12,3.98,0,1
Canada,16.39,Packaging_Electronics,50.04,106.29,Medium,1346.99,5293.5,66.12,4.38,15.51,9,0.43,0.84,8.47,0,1
Saudi Arabia,24.81,Industrial_Packaging,42.97,131.64,High,1138.83,19765.87,75.09,2.49,16.61,2,0.68,0.2,6.44,1,0
Brazil,38.44,Automotive_Packaging,10.91,102.74,High,1337.9,13753.12,32.26,6.0,18.6,2,0.32,0.52,9.31,1,0
Russia,63.12,Consumer_Goods,77.77,26.29,High,1260.95,20021.23,76.89,14.56,3.55,1,0.95,0.86,1.06,1,0
Indonesia,60.27,Industrial_Packaging,17.09,149.88,Low,1176.52,4609.81,47.31,14.86,6.25,8,0.2,0.48,14.08,0,0
France,57.37,Automotive_Packaging,17.62,53.54,Medium,493.43,8792.58,44.11,6.03,15.67,9,0.98,0.47,6.33,0,1
China,55.04,Automotive_Packaging,26.11,129.06,Low,690.83,20425.32,95.42,5.52,18.7,5,0.34,0.36,4.95,0,0
Saudi Arabia,8.51,Industrial_Packaging,56.38,103.12,Medium,1100.87,8270.4,53.03,13.45,5.39,4,0.94,0.84,7.64,0,0
South Korea,30.26,Industrial_Packaging,64.52,30.63,Low,574.55,21395.03,58.1,13.24,11.6,9,0.72,0.94,2.72,0,1
Italy,23.32,Industrial_Packaging,78.8,60.38,Low,14.28,1647.87,30.33,8.31,11.21,5,0.38,0.77,13.45,0,1
United States,60.9,Industrial_Packaging,86.82,45.51,Medium,1250.61,17542.09,51.71,2.09,9.46,1,0.62,0.63,9.22,0,1
Turkey,53.64,Packaging_Consumer,72.63,139.09,Medium,750.56,2696.72,63.7,12.46,12.0,1,0.96,0.02,13.52,0,0
Turkey,53.53,Automotive_Packaging,67.31,130.14,Medium,132.06,3228.44,51.43,8.65,11.33,1,0.61,0.65,13.76,0,0
Saudi Arabia,9.36,Industrial_Packaging,13.8,108.01,High,515.33,8274.88,69.97,14.76,11.4,2,0.64,0.35,7.41,1,0
Russia,32.87,Automotive_Packaging,63.92,149.05,High,498.56,13103.52,82.07,3.78,12.06,7,0.93,0.9,2.91,1,0
Indonesia,20.13,Automotive_Packaging,86.98,13.39,High,266.53,12951.41,24.25,11.52,9.08,6,0.77,0.48,4.93,1,0
Japan,2.49,Automotive_Packaging,52.45,75.78,High,128.77,3938.1,75.0,9.02,6.78,1,0.84,0.37,1.31,1,1
South Korea,17.42,Consumer_Goods,83.24,70.66,Medium,500.52,16987.2,57.26,2.88,5.97,8,0.15,0.0,8.83,0,1
UK,30.15,Industrial_Packaging,53.42,54.49,Low,1250.32,7703.12,52.83,9.19,3.09,9,0.47,0.4,11.7,0,1
Russia,15.16,Consumer_Goods,68.23,113.78,High,1265.06,7360.27,50.59,10.77,8.36,9,0.41,0.46,14.59,1,0
Russia,28.51,Automotive_Packaging,77.85,63.5,Low,499.65,17716.16,62.38,5.44,6.84,6,0.45,0.57,3.5,0,0
Indonesia,34.3,Consumer_Goods,64.85,99.65,High,728.19,18258.77,94.41,14.53,12.12,8,0.51,0.84,7.07,1,0
Saudi Arabia,8.63,Packaging_Electronics,11.51,95.39,Low,1314.41,6370.08,72.88,2.24,10.08,4,0.85,0.83,4.48,0,0
UK,3.83,Consumer_Goods,65.22,51.29,Medium,738.31,1186.31,41.32,3.36,14.34,3,0.36,0.75,14.45,0,1
Germany,11.76,Industrial_Packaging,79.77,106.66,Medium,1382.03,10632.76,74.28,12.1,2.74,6,0.75,0.65,4.72,0,1
Canada,16.39,Packaging_Electronics,50.04,106.29,Medium,1346.99,5293.5,66.12,4.38,15.51,9,0.43,0.84,8.47,0,1
Saudi Arabia,37.82,Industrial_Packaging,76.94,140.51,High,281.09,10652.17,53.73,5.8,7.54,9,0.01,0.72,6.41,1,0
Indonesia,50.08,Industrial_Packaging,80.28,13.81,Low,252.49,17652.77,67.35,4.57,13.4,1,0.85,0.9,1.73,0,0
Russia,30.12,Packaging_Consumer,21.59,10.44,High,834.88,15014.26,63.52,11.87,1.66,9,0.71,0.22,1.91,1,0
France,2.94,Automotive_Packaging,83.8,105.88,Medium,567.86,12460.47,31.2,1.88,1.67,4,0.77,0.6,13.13,0,1
Japan,11.05,Industrial_Packaging,39.95,136.99,Medium,221.1,12141.49,70.46,0.59,9.1,5,0.28,0.0,2.06,0,1
Japan,49.38,Packaging_Electronics,67.22,101.76,High,435.92,3505.6,52.75,7.28,5.23,9,0.31,0.52,12.64,1,1
Australia,47.06,Industrial_Packaging,70.4,29.85,Low,510.53,8939.22,63.33,0.41,2.59,4,0.76,0.3,12.66,0,1
Mexico,53.49,Packaging_Consumer,25.96,123.83,Low,817.53,11472.66,91.39,3.54,11.15,1,0.13,0.09,11.55,0,0
Japan,43.91,Automotive_Packaging,80.82,26.81,Low,388.27,8497.37,81.56,3.33,6.42,8,0.4,0.19,10.0,0,1
Germany,5.07,Packaging_Consumer,24.85,82.54,Low,235.73,17874.11,38.21,11.16,11.08,6,0.64,0.62,12.4,0,1
Australia,25.38,Automotive_Packaging,13.13,77.53,High,1217.14,6601.39,84.51,4.38,11.41,3,0.1,0.02,3.66,1,1
France,31.32,Packaging_Electronics,58.22,94.56,Medium,554.42,14932.33,42.3,10.43,15.2,6,0.02,0.42,7.94,0,1
Brazil,47.68,Packaging_Electronics,74.77,103.94,High,355.88,11460.11,45.43,4.92,5.0,7,0.73,0.55,10.95,1,0
India,16.72,Consumer_Goods,83.49,91.93,Medium,1198.19,17083.52,52.66,6.9,4.51,3,0.5,0.77,14.34,0,0
Turkey,27.19,Packaging_Consumer,38.11,48.18,Low,1385.09,14163.79,64.85,0.86,7.33,6,0.94,0.23,14.38,0,0
France,60.49,Industrial_Packaging,84.08,75.83,Low,1151.74,17300.64,32.98,0.83,7.78,4,0.95,0.53,5.71,0,1
Germany,25.83,Automotive_Packaging,87.77,104.51,Medium,1114.78,8221.43,82.56,0.29,15.71,6,1.0,0.53,14.54,0,1
Spain,55.14,Consumer_Goods,60.67,139.86,High,424.68,3737.12,59.83,9.76,12.09,4,0.21,0.44,3.13,1,1
United States,20.39,Industrial_Packaging,68.53,33.61,Medium,1115.59,13366.3,51.3,10.06,0.33,2,0.99,0.54,3.54,0,1
Saudi Arabia,14.99,Industrial_Packaging,73.79,59.43,Medium,952.99,3767.25,66.07,11.63,14.96,6,0.78,0.36,3.53,0,0
UK,68.29,Consumer_Goods,33.14,59.04,Medium,450.31,4296.87,52.52,14.71,0.25,9,0.8,0.53,5.78,0,1
South Africa,68.13,Consumer_Goods,16.88,49.16,Medium,197.17,3666.72,74.65,5.47,10.4,4,0.88,0.64,8.72,0,0
Russia,51.03,Automotive_Packaging,83.13,47.91,Medium,718.6,16378.07,28.79,8.7,13.41,6,0.97,0.66,5.05,0,0
Mexico,2.61,Automotive_Packaging,60.07,34.6,Low,664.9,16710.99,29.1,4.5,18.99,5,0.85,0.0,14.61,0,0
Turkey,66.4,Packaging_Consumer,57.14,68.33,Medium,1049.62,19109.83,76.07,5.27,9.67,6,0.43,0.92,6.55,0,0
Turkey,14.83,Consumer_Goods,78.78,112.59,Medium,846.16,14624.79,48.46,7.4,19.61,1,0.14,0.8,5.95,0,0
Turkey,28.93,Packaging_Electronics,41.42,143.71,Low,1150.22,18885.43,98.48,5.73,16.5,4,0.8,0.51,10.3,0,0
Italy,8.91,Industrial_Packaging,83.66,86.87,High,213.63,11698.86,96.72,5.86,9.04,3,0.23,0.09,10.57,1,1
Saudi Arabia,25.2,Automotive_Packaging,22.13,99.43,Medium,858.54,7101.2,87.04,13.4,4.0,1,0.46,0.81,7.83,0,0
India,23.15,Packaging_Consumer,65.58,115.4,Medium,278.27,13745.74,76.98,4.56,19.26,2,0.82,0.17,4.81,0,0
Japan,32.69,Packaging_Electronics,79.37,30.03,Medium,847.46,2355.76,69.9,1.59,7.84,3,0.28,0.49,6.26,0,1
South Korea,49.69,Automotive_Packaging,34.98,16.05,Low,305.31,3452.14,43.05,7.17,9.65,7,0.63,1.0,4.49,0,1
Egypt,20.0,Consumer_Goods,7.58,136.5,Medium,344.84,10873.93,76.46,13.41,10.07,7,0.62,0.93,9.57,0,0
Russia,7.62,Packaging_Electronics,30.98,63.42,High,444.95,7327.29,32.58,6.53,13.58,6,0.92,0.95,8.95,1,0
Indonesia,28.81,Packaging_Electronics,27.59,39.39,High,928.41,2543.54,21.04,5.19,2.86,2,0.27,0.85,9.11,1,0
Germany,69.53,Consumer_Goods,22.94,81.56,Low,511.87,4343.62,32.34,2.25,15.36,8,0.52,0.1,4.76,0,1
UK,60.29,Packaging_Consumer,13.98,87.06,High,1337.8,11811.48,53.97,10.41,6.49,4,0.51,0.64,14.55,1,1
Italy,9.18,Packaging_Electronics,47.55,147.99,High,1349.73,9083.68,89.56,2.66,4.65,6,0.76,0.65,4.07,1,1
Australia,28.85,Consumer_Goods,82.99,76.8,Low,740.68,17058.71,85.21,2.77,10.58,9,0.9,0.68,1.69,0,1
India,26.89,Automotive_Packaging,78.05,20.15,Medium,223.71,13550.94,73.31,5.85,8.5,2,0.97,0.47,13.66,0,0
Australia,42.7,Packaging_Consumer,58.82,126.84,High,234.6,13351.06,57.65,11.49,5.92,5,0.76,0.45,11.83,1,1
Egypt,31.32,Automotive_Packaging,32.13,149.22,High,159.0,8908.43,75.09,12.38,14.49,6,0.65,0.29,0.9,1,0
UK,46.37,Packaging_Consumer,64.57,74.33,Medium,1373.2,682.37,30.0,14.07,11.89,6,0.4,0.28,8.09,0,1
Italy,5.06,Packaging_Consumer,39.24,130.2,High,906.15,10603.68,39.57,2.51,15.31,1,0.62,0.77,4.19,1,1
Italy,4.89,Packaging_Consumer,36.88,61.26,Medium,821.17,19666.05,88.24,3.71,8.41,7,0.74,0.02,11.17,0,1
Italy,67.72,Industrial_Packaging,55.27,110.03,Medium,1146.08,965.14,35.77,10.31,19.75,5,0.91,0.84,4.09,0,1
Italy,67.52,Packaging_Consumer,76.59,109.48,High,1095.48,6829.65,49.55,1.49,8.38,4,0.84,0.75,0.64,1,1
UK,37.85,Automotive_Packaging,25.96,15.98,High,1227.65,8177.71,98.22,2.68,3.06,8,0.51,0.84,2.12,1,1
Italy,14.83,Packaging_Electronics,85.76,86.15,Medium,1132.8,4667.26,83.71,14.57,8.71,6,0.22,0.94,9.42,0,1
UK,55.14,Automotive_Packaging,23.12,27.38,Low,744.03,7522.24,22.12,14.58,10.63,6,0.4,0.91,9.52,0,1
Mexico,15.22,Packaging_Consumer,16.57,143.78,Medium,424.73,11023.87,20.31,10.15,1.94,3,0.41,0.62,13.14,0,0
Canada,32.4,Automotive_Packaging,76.34,44.15,Low,595.3,18539.36,66.15,3.25,6.83,5,0.75,0.18,1.34,0,1
Australia,20.87,Packaging_Consumer,45.76,66.11,Low,728.25,2765.95,91.26,14.69,13.23,3,0.71,0.14,5.58,0,1
Egypt,42.25,Industrial_Packaging,71.56,80.1,Low,824.44,3676.81,73.02,5.58,12.93,7,0.26,0.31,14.14,0,0
France,52.12,Packaging_Consumer,19.45,37.94,Medium,782.38,6108.34,22.36,14.36,4.88,2,0.98,0.37,1.66,0,1
Turkey,27.59,Packaging_Electronics,20.88,88.0,Medium,596.54,12146.5,32.62,2.48,19.55,7,0.57,0.15,9.01,0,0
Brazil,1.17,Packaging_Consumer,72.98,131.74,Medium,64.29,17984.89,26.5,3.53,6.63,2,0.01,0.63,7.38,0,0
Indonesia,60.23,Packaging_Consumer,51.48,55.92,High,857.91,1704.06,98.0,13.35,11.93,2,0.55,0.5,2.64,1,0
UK,41.84,Industrial_Packaging,11.34,65.15,High,942.03,15992.26,63.03,7.43,7.51,2,0.32,0.27,8.03,1,1
India,41.6,Packaging_Electronics,70.38,20.71,Medium,1101.7,2916.59,68.05,2.93,18.48,9,0.33,0.26,10.58,0,0
Saudi Arabia,49.75,Packaging_Electronics,39.6,11.34,Medium,1182.96,1379.06,95.0,6.04,11.67,8,0.35,0.96,4.23,0,0
South Africa,21.95,Consumer_Goods,7.95,22.18,Medium,647.84,15930.89,75.54,6.79,3.7,2,0.65,0.79,7.97,0,0
Germany,46.03,Automotive_Packaging,11.97,122.76,High,1124.82,6151.71,32.72,5.65,3.67,3,0.75,0.36,13.63,1,1
Japan,50.52,Industrial_Packaging,15.33,142.29,High,30.28,10867.55,75.59,14.52,1.49,9,0.81,0.8,4.14,1,1
Spain,53.68,Packaging_Consumer,36.31,143.49,Medium,318.38,9804.13,55.24,0.69,11.63,7,0.96,0.8,6.38,0,1
Turkey,14.45,Industrial_Packaging,37.37,112.67,Low,214.88,4101.9,34.2,8.9,1.58,9,0.81,0.95,2.37,0,0
Indonesia,28.81,Packaging_Electronics,27.59,39.39,High,928.41,2543.54,21.04,5.19,2.86,2,0.27,0.85,9.11,1,0
France,68.38,Automotive_Packaging,57.34,92.52,High,1281.43,11407.96,62.42,5.26,1.43,8,0.54,0.87,9.72,1,1
UK,45.97,Packaging_Electronics,49.73,21.59,Low,1284.17,7843.1,26.15,14.56,6.34,1,0.14,0.22,0.97,0,1
Italy,41.6,Consumer_Goods,10.41,139.09,Low,1289.62,6833.08,88.08,11.8,19.64,9,0.06,0.53,9.2,0,1
Egypt,36.38,Consumer_Goods,13.68,52.25,Medium,740.35,15016.78,72.56,7.73,15.86,6,1.0,0.34,3.69,0,0
Australia,34.45,Consumer_Goods,64.68,144.32,Medium,465.32,21784.44,74.19,9.88,8.26,8,0.61,0.66,11.86,0,1
UK,66.89,Packaging_Consumer,42.3,74.81,Medium,595.15,19604.33,66.86,11.28,9.81,9,0.73,0.57,9.12,0,1
South Korea,59.96,Consumer_Goods,81.32,144.98,Low,1091.52,20671.75,60.3,7.17,12.45,1,0.29,0.28,1.77,0,1
India,40.87,Packaging_Electronics,58.42,71.61,High,61.16,16402.24,47.9,2.23,0.95,8,0.45,0.84,5.39,1,0
Russia,13.9,Consumer_Goods,70.28,24.96,Medium,971.25,20745.01,86.32,3.96,19.38,5,0.16,0.17,14.39,0,0
China,50.08,Industrial_Packaging,44.65,42.02,Medium,857.0,6914.64,87.85,6.96,15.23,5,0.39,0.58,11.12,0,0
Australia,67.15,Consumer_Goods,84.64,88.04,High,1203.07,9809.06,61.67,11.22,2.2,1,0.09,0.99,8.74,1,1
China,22.34,Packaging_Consumer,65.32,44.77,Medium,175.33,17861.44,35.78,12.84,1.74,3,0.42,0.57,13.03,0,0
